中文名,英文名,等级,总排名,等级内序号,海克斯名称
暗裔剑魔,Aatrox,白银,128,36,侵蚀
暗裔剑魔,Aatrox,棱彩,129,42,卡皮巴拉空投
暗裔剑魔,Aatrox,白银,130,37,折磨者
暗裔剑魔,Aatrox,黄金,131,52,缩小射线
暗裔剑魔,Aatrox,黄金,132,53,闪电打击
暗裔剑魔,Aatrox,棱彩,133,43,慢炖
暗裔剑魔,Aatrox,棱彩,134,44,任务：艾卡西亚的陷落
暗裔剑魔,Aatrox,白银,135,38,唯快不破
暗裔剑魔,Aatrox,黄金,136,54,面包和果酱
暗裔剑魔,Aatrox,白银,137,39,升级：献祭
暗裔剑魔,Aatrox,白银,138,40,退敌力场
暗裔剑魔,Aatrox,白银,139,41,山脉龙魂
暗裔剑魔,Aatrox,白银,140,42,纯粹主义者 - 术师
暗裔剑魔,Aatrox,棱彩,141,45,炼狱导管
暗裔剑魔,Aatrox,棱彩,142,46,砍伤
暗裔剑魔,Aatrox,黄金,143,55,火上浇油
暗裔剑魔,Aatrox,黄金,144,56,接二连三
暗裔剑魔,Aatrox,白银,145,43,台风
暗裔剑魔,Aatrox,棱彩,146,47,地狱三头犬
暗裔剑魔,Aatrox,白银,147,44,双生火焰
暗裔剑魔,Aatrox,黄金,148,57,炽烈黎明
暗裔剑魔,Aatrox,白银,149,45,吵闹鬼
暗裔剑魔,Aatrox,黄金,150,58,暴击律动
暗裔剑魔,Aatrox,黄金,151,59,神射法师
暗裔剑魔,Aatrox,棱彩,152,48,男爵之手
暗裔剑魔,Aatrox,白银,153,46,升级：荆棘之甲
暗裔剑魔,Aatrox,棱彩,154,49,双刀流
暗裔剑魔,Aatrox,棱彩,155,50,连拨击锤
暗裔剑魔,Aatrox,白银,156,47,冰寒
暗裔剑魔,Aatrox,棱彩,157,51,激光治疗
暗裔剑魔,Aatrox,白银,158,48,闪光弹
暗裔剑魔,Aatrox,白银,159,49,点亮他们！
暗裔剑魔,Aatrox,黄金,160,60,基石法师
暗裔剑魔,Aatrox,白银,161,50,巫师式思考
暗裔剑魔,Aatrox,黄金,162,61,咏叹奏鸣
暗裔剑魔,Aatrox,白银,163,51,海洋龙魂
暗裔剑魔,Aatrox,白银,164,52,闪闪现现
暗裔剑魔,Aatrox,黄金,165,62,升级：耀光
暗裔剑魔,Aatrox,白银,166,53,天音爆
暗裔剑魔,Aatrox,棱彩,167,52,任务：沃格勒特的巫师帽
暗裔剑魔,Aatrox,棱彩,168,53,信念者的强化
暗裔剑魔,Aatrox,棱彩,169,54,死亡之环
暗裔剑魔,Aatrox,棱彩,170,55,王中王，靴中靴
九尾妖狐,Ahri,黄金,1,1,魔法飞弹
九尾妖狐,Ahri,黄金,2,2,裁决使
九尾妖狐,Ahri,黄金,3,3,超凡邪恶
九尾妖狐,Ahri,棱彩,4,1,珠光护手
九尾妖狐,Ahri,棱彩,5,2,尤里卡
九尾妖狐,Ahri,黄金,6,4,祖母的辣椒油
九尾妖狐,Ahri,白银,7,1,巫师式思考
九尾妖狐,Ahri,棱彩,8,3,虚空裂隙
九尾妖狐,Ahri,黄金,9,5,穿针引线
九尾妖狐,Ahri,白银,10,2,火狐
九尾妖狐,Ahri,黄金,11,6,质变：棱彩阶
九尾妖狐,Ahri,黄金,12,7,有始有终
九尾妖狐,Ahri,黄金,13,8,缩小引擎
九尾妖狐,Ahri,棱彩,14,4,巨人杀手
九尾妖狐,Ahri,黄金,15,9,魄罗爆破手
九尾妖狐,Ahri,白银,16,3,负重爆气
九尾妖狐,Ahri,白银,17,4,扇巴掌
九尾妖狐,Ahri,黄金,18,10,杀戮时间到了
九尾妖狐,Ahri,黄金,19,11,吸血习性
九尾妖狐,Ahri,白银,20,5,物理转魔法
九尾妖狐,Ahri,黄金,21,12,基石法师
九尾妖狐,Ahri,棱彩,22,5,炼狱导管
九尾妖狐,Ahri,黄金,23,13,溢流
九尾妖狐,Ahri,白银,24,6,双生火焰
九尾妖狐,Ahri,黄金,25,14,超强大脑
九尾妖狐,Ahri,白银,26,7,速度恶魔
九尾妖狐,Ahri,黄金,27,15,循环往复
九尾妖狐,Ahri,棱彩,28,6,任务：沃格勒特的巫师帽
九尾妖狐,Ahri,黄金,29,16,暴击飞弹
九尾妖狐,Ahri,白银,30,8,渴血
九尾妖狐,Ahri,棱彩,31,7,全凭身法
九尾妖狐,Ahri,白银,32,9,帽上加帽
九尾妖狐,Ahri,黄金,33,17,神射法师
九尾妖狐,Ahri,白银,34,10,升级：中娅
九尾妖狐,Ahri,黄金,35,18,属性叠属性！
九尾妖狐,Ahri,白银,36,11,质变：黄金阶
九尾妖狐,Ahri,黄金,37,19,夜狩
九尾妖狐,Ahri,黄金,38,20,升级：雪球
九尾妖狐,Ahri,白银,39,12,暗影疾奔
九尾妖狐,Ahri,黄金,40,21,面包和黄油
九尾妖狐,Ahri,黄金,41,22,面包和奶酪
九尾妖狐,Ahri,黄金,42,23,古式佳酿
九尾妖狐,Ahri,黄金,43,24,心灵净化
九尾妖狐,Ahri,白银,44,13,快中求稳
九尾妖狐,Ahri,黄金,45,25,红包
九尾妖狐,Ahri,黄金,46,26,弹球
九尾妖狐,Ahri,白银,47,14,由心及物
九尾妖狐,Ahri,黄金,48,27,捐赠
九尾妖狐,Ahri,黄金,49,28,雪球扭蛋机
九尾妖狐,Ahri,黄金,50,29,吞噬灵魂
九尾妖狐,Ahri,棱彩,51,8,史上最大雪球
九尾妖狐,Ahri,棱彩,52,9,质变：混沌
九尾妖狐,Ahri,棱彩,53,10,小丑学院
九尾妖狐,Ahri,白银,54,15,刃下生风
九尾妖狐,Ahri,白银,55,16,属性！
九尾妖狐,Ahri,白银,56,17,霸符兄弟
九尾妖狐,Ahri,棱彩,57,11,无限循环往复
九尾妖狐,Ahri,棱彩,58,12,终极唤醒
九尾妖狐,Ahri,黄金,59,30,作弊：我能回城！
九尾妖狐,Ahri,棱彩,60,13,尊我为王
九尾妖狐,Ahri,棱彩,61,14,潘朵拉的盒子
九尾妖狐,Ahri,白银,62,18,海洋龙魂
九尾妖狐,Ahri,白银,63,19,杀意翻涌
九尾妖狐,Ahri,白银,64,20,炼狱龙魂
九尾妖狐,Ahri,棱彩,65,15,不祥契约
九尾妖狐,Ahri,白银,66,21,海克斯科技龙魂
九尾妖狐,Ahri,棱彩,67,16,属性叠属性叠属性！
九尾妖狐,Ahri,白银,68,22,家园卫士
九尾妖狐,Ahri,白银,69,23,逃跑计划
九尾妖狐,Ahri,棱彩,70,17,残忍
九尾妖狐,Ahri,黄金,71,31,狂徒豪气
九尾妖狐,Ahri,黄金,72,32,易损
九尾妖狐,Ahri,黄金,73,33,老练狙神
九尾妖狐,Ahri,白银,74,24,终极不可阻挡
九尾妖狐,Ahri,黄金,75,34,罪恶快感
九尾妖狐,Ahri,黄金,76,35,尖端发明家
九尾妖狐,Ahri,棱彩,77,18,大地苏醒
九尾妖狐,Ahri,白银,78,25,点亮他们！
九尾妖狐,Ahri,黄金,79,36,面包和果酱
九尾妖狐,Ahri,棱彩,80,19,神圣雪球
九尾妖狐,Ahri,棱彩,81,20,精怪魔法
九尾妖狐,Ahri,黄金,82,37,急急小子
九尾妖狐,Ahri,棱彩,83,21,你摸不到
九尾妖狐,Ahri,黄金,84,38,神圣干预
九尾妖狐,Ahri,黄金,85,39,最终都市列车
九尾妖狐,Ahri,黄金,86,40,闪现向前
九尾妖狐,Ahri,黄金,87,41,虚幻武器
九尾妖狐,Ahri,白银,88,26,自我毁灭
九尾妖狐,Ahri,白银,89,27,注魔
九尾妖狐,Ahri,白银,90,28,练腿日
九尾妖狐,Ahri,黄金,91,42,关键暴击
九尾妖狐,Ahri,棱彩,92,22,终极刷新
九尾妖狐,Ahri,黄金,93,43,回力OK镖
九尾妖狐,Ahri,黄金,94,44,炽烈黎明
九尾妖狐,Ahri,棱彩,95,23,玻璃大炮
九尾妖狐,Ahri,棱彩,96,24,踢踏舞
九尾妖狐,Ahri,黄金,97,45,无休回复
九尾妖狐,Ahri,棱彩,98,25,当心小蛋糕！
九尾妖狐,Ahri,白银,99,29,防护面纱
九尾妖狐,Ahri,棱彩,100,26,夺金
九尾妖狐,Ahri,白银,101,30,狂热者
九尾妖狐,Ahri,黄金,102,46,灵魂虹吸
九尾妖狐,Ahri,黄金,103,47,生机迸发
九尾妖狐,Ahri,白银,104,31,旋转至胜
九尾妖狐,Ahri,白银,105,32,俯冲轰炸
九尾妖狐,Ahri,白银,106,33,侵蚀
九尾妖狐,Ahri,棱彩,107,27,？？？
九尾妖狐,Ahri,棱彩,108,28,利刃华尔兹
九尾妖狐,Ahri,白银,109,34,坚若磐石
九尾妖狐,Ahri,白银,110,35,纯粹主义者 - 术师
九尾妖狐,Ahri,白银,111,36,强力护盾
九尾妖狐,Ahri,棱彩,112,29,全能龙魂
九尾妖狐,Ahri,白银,113,37,冰寒
九尾妖狐,Ahri,棱彩,114,30,飞身踢
九尾妖狐,Ahri,黄金,115,48,会心治疗
九尾妖狐,Ahri,白银,116,38,折磨者
九尾妖狐,Ahri,棱彩,117,31,卡皮巴拉空投
九尾妖狐,Ahri,黄金,118,49,坦克引擎
九尾妖狐,Ahri,棱彩,119,32,魄罗之王的弹跳
九尾妖狐,Ahri,棱彩,120,33,量子计算
九尾妖狐,Ahri,棱彩,121,34,任务：海牛阿福的勇士
九尾妖狐,Ahri,棱彩,122,35,科学狂人
九尾妖狐,Ahri,棱彩,123,36,感受燃烧
九尾妖狐,Ahri,棱彩,124,37,死亡之环
九尾妖狐,Ahri,白银,125,39,冰霜 幽灵
九尾妖狐,Ahri,白银,126,40,会心防御
九尾妖狐,Ahri,黄金,127,50,火上浇油
九尾妖狐,Ahri,黄金,128,51,黎明使者的坚决
九尾妖狐,Ahri,白银,129,41,退敌力场
九尾妖狐,Ahri,白银,130,42,恶趣味
九尾妖狐,Ahri,黄金,131,52,坚韧
九尾妖狐,Ahri,白银,132,43,唯快不破
九尾妖狐,Ahri,棱彩,133,38,歌利亚巨人
九尾妖狐,Ahri,黄金,134,53,任务：钢化你心
九尾妖狐,Ahri,棱彩,135,39,秘术冲拳
九尾妖狐,Ahri,黄金,136,54,更万用的瞄准镜
九尾妖狐,Ahri,棱彩,137,40,扳机炼狱
九尾妖狐,Ahri,黄金,138,55,双发快射
九尾妖狐,Ahri,黄金,139,56,圣火
九尾妖狐,Ahri,棱彩,140,41,精准奇才
九尾妖狐,Ahri,白银,141,44,吵闹鬼
九尾妖狐,Ahri,白银,142,45,急救用具
九尾妖狐,Ahri,黄金,143,57,星界躯体
九尾妖狐,Ahri,白银,144,46,转得我眩晕了
九尾妖狐,Ahri,白银,145,47,由暴生急
九尾妖狐,Ahri,棱彩,146,42,你肩上的恶魔
九尾妖狐,Ahri,棱彩,147,43,激光治疗
九尾妖狐,Ahri,黄金,148,58,不动如山
九尾妖狐,Ahri,棱彩,149,44,男爵之手
九尾妖狐,Ahri,白银,150,48,山脉龙魂
九尾妖狐,Ahri,棱彩,151,45,巨像的勇气
九尾妖狐,Ahri,棱彩,152,46,最终形态
九尾妖狐,Ahri,棱彩,153,47,最万用的瞄准镜
九尾妖狐,Ahri,白银,154,49,万用瞄准镜
九尾妖狐,Ahri,白银,155,50,魔法转物理
九尾妖狐,Ahri,棱彩,156,48,慢炖
九尾妖狐,Ahri,白银,157,51,灵巧
九尾妖狐,Ahri,棱彩,158,49,回归基本功
九尾妖狐,Ahri,棱彩,159,50,蛋白粉奶昔
九尾妖狐,Ahri,黄金,160,59,暴击律动
九尾妖狐,Ahri,棱彩,161,51,战争交响乐
九尾妖狐,Ahri,白银,162,52,重量级打击手
九尾妖狐,Ahri,白银,163,53,闪光弹
九尾妖狐,Ahri,棱彩,164,52,地狱三头犬
九尾妖狐,Ahri,棱彩,165,53,风语者的祝福
九尾妖狐,Ahri,黄金,166,60,升级：耀光
九尾妖狐,Ahri,黄金,167,61,咏叹奏鸣
九尾妖狐,Ahri,棱彩,168,54,和我一起困在这里
九尾妖狐,Ahri,白银,169,54,闪闪现现
九尾妖狐,Ahri,棱彩,170,55,物法皆修
九尾妖狐,Ahri,黄金,171,62,闪电打击
九尾妖狐,Ahri,黄金,172,63,升级：狂妄
九尾妖狐,Ahri,棱彩,173,56,信念者的强化
九尾妖狐,Ahri,白银,174,55,升级：收集者
九尾妖狐,Ahri,黄金,175,64,升级：无尽之刃
九尾妖狐,Ahri,棱彩,176,57,任务：艾卡西亚的陷落
九尾妖狐,Ahri,白银,177,56,台风
九尾妖狐,Ahri,白银,178,57,活力再生
九尾妖狐,Ahri,白银,179,58,大力
九尾妖狐,Ahri,黄金,180,65,接二连三
九尾妖狐,Ahri,棱彩,181,58,亮出你的剑
九尾妖狐,Ahri,黄金,182,66,缩小射线
九尾妖狐,Ahri,白银,183,59,天音爆
九尾妖狐,Ahri,白银,184,60,残暴之力
九尾妖狐,Ahri,棱彩,185,59,连拨击锤
九尾妖狐,Ahri,棱彩,186,60,双刀流
九尾妖狐,Ahri,黄金,187,67,一板一眼
九尾妖狐,Ahri,白银,188,61,升级：献祭
九尾妖狐,Ahri,棱彩,189,61,王中王，靴中靴
九尾妖狐,Ahri,白银,190,62,血上加伤
离群之刺,Akali,黄金,1,1,神射法师
离群之刺,Akali,黄金,2,2,裁决使
离群之刺,Akali,黄金,3,3,吸血习性
离群之刺,Akali,黄金,4,4,超凡邪恶
离群之刺,Akali,黄金,5,5,质变：棱彩阶
离群之刺,Akali,黄金,6,6,穿针引线
离群之刺,Akali,白银,7,1,巫师式思考
离群之刺,Akali,黄金,8,7,夜狩
离群之刺,Akali,棱彩,9,1,珠光护手
离群之刺,Akali,白银,10,2,物理转魔法
离群之刺,Akali,白银,11,3,暗影疾奔
离群之刺,Akali,白银,12,4,渴血
离群之刺,Akali,黄金,13,8,杀戮时间到了
离群之刺,Akali,黄金,14,9,魔法飞弹
离群之刺,Akali,黄金,15,10,有始有终
离群之刺,Akali,棱彩,16,2,小丑学院
离群之刺,Akali,棱彩,17,3,最终形态
离群之刺,Akali,白银,18,5,速度恶魔
离群之刺,Akali,白银,19,6,快中求稳
离群之刺,Akali,白银,20,7,升级：中娅
离群之刺,Akali,棱彩,21,4,虚空裂隙
离群之刺,Akali,黄金,22,11,缩小引擎
离群之刺,Akali,棱彩,23,5,巨人杀手
离群之刺,Akali,白银,24,8,炼狱龙魂
离群之刺,Akali,白银,25,9,质变：黄金阶
离群之刺,Akali,黄金,26,12,升级：雪球
离群之刺,Akali,黄金,27,13,属性叠属性！
离群之刺,Akali,黄金,28,14,超强大脑
离群之刺,Akali,白银,29,10,火狐
离群之刺,Akali,棱彩,30,6,任务：沃格勒特的巫师帽
离群之刺,Akali,黄金,31,15,雪球扭蛋机
离群之刺,Akali,黄金,32,16,弹球
离群之刺,Akali,黄金,33,17,魔鬼之舞
离群之刺,Akali,黄金,34,18,捐赠
离群之刺,Akali,棱彩,35,7,史上最大雪球
离群之刺,Akali,黄金,36,19,红包
离群之刺,Akali,黄金,37,20,最终都市列车
离群之刺,Akali,棱彩,38,8,质变：混沌
离群之刺,Akali,白银,39,11,属性！
离群之刺,Akali,白银,40,12,俯冲轰炸
离群之刺,Akali,白银,41,13,逃跑计划
离群之刺,Akali,棱彩,42,9,全凭身法
离群之刺,Akali,黄金,43,21,狂徒豪气
离群之刺,Akali,棱彩,44,10,尤里卡
离群之刺,Akali,黄金,45,22,古式佳酿
离群之刺,Akali,黄金,46,23,心灵净化
离群之刺,Akali,黄金,47,24,尖端发明家
离群之刺,Akali,黄金,48,25,祖母的辣椒油
离群之刺,Akali,棱彩,49,11,物法皆修
离群之刺,Akali,黄金,50,26,任务：钢化你心
离群之刺,Akali,白银,51,14,帽上加帽
离群之刺,Akali,白银,52,15,杀意翻涌
离群之刺,Akali,白银,53,16,自我毁灭
离群之刺,Akali,黄金,54,27,循环往复
离群之刺,Akali,棱彩,55,12,歌利亚巨人
离群之刺,Akali,白银,56,17,负重爆气
离群之刺,Akali,白银,57,18,终极不可阻挡
离群之刺,Akali,棱彩,58,13,扳机炼狱
离群之刺,Akali,黄金,59,28,罪恶快感
离群之刺,Akali,白银,60,19,刃下生风
离群之刺,Akali,黄金,61,29,面包和果酱
离群之刺,Akali,棱彩,62,14,大地苏醒
离群之刺,Akali,棱彩,63,15,神圣雪球
离群之刺,Akali,棱彩,64,16,不祥契约
离群之刺,Akali,棱彩,65,17,利刃华尔兹
离群之刺,Akali,黄金,66,30,坦克引擎
离群之刺,Akali,棱彩,67,18,潘朵拉的盒子
离群之刺,Akali,黄金,68,31,升级：耀光
离群之刺,Akali,黄金,69,32,作弊：我能回城！
离群之刺,Akali,白银,70,20,双生火焰
离群之刺,Akali,白银,71,21,霸符兄弟
离群之刺,Akali,黄金,72,33,神圣干预
离群之刺,Akali,棱彩,73,19,尊我为王
离群之刺,Akali,棱彩,74,20,舞会女王
离群之刺,Akali,黄金,75,34,魄罗爆破手
离群之刺,Akali,棱彩,76,21,你摸不到
离群之刺,Akali,棱彩,77,22,终极刷新
离群之刺,Akali,棱彩,78,23,属性叠属性叠属性！
离群之刺,Akali,棱彩,79,24,飞身踢
离群之刺,Akali,黄金,80,35,生机迸发
离群之刺,Akali,黄金,81,36,闪现向前
离群之刺,Akali,棱彩,82,25,炼狱导管
离群之刺,Akali,白银,83,22,练腿日
离群之刺,Akali,白银,84,23,狂热者
离群之刺,Akali,黄金,85,37,基石法师
离群之刺,Akali,黄金,86,38,无休回复
离群之刺,Akali,黄金,87,39,升级：狂妄
离群之刺,Akali,黄金,88,40,虚幻武器
离群之刺,Akali,棱彩,89,26,终极唤醒
离群之刺,Akali,黄金,90,41,面包和黄油
离群之刺,Akali,黄金,91,42,易损
离群之刺,Akali,黄金,92,43,面包和奶酪
离群之刺,Akali,棱彩,93,27,无限循环往复
离群之刺,Akali,黄金,94,44,灵魂虹吸
离群之刺,Akali,白银,95,24,海克斯科技龙魂
离群之刺,Akali,黄金,96,45,关键暴击
离群之刺,Akali,黄金,97,46,更万用的瞄准镜
离群之刺,Akali,棱彩,98,28,量子计算
离群之刺,Akali,棱彩,99,29,魄罗之王的弹跳
离群之刺,Akali,黄金,100,47,星界躯体
离群之刺,Akali,黄金,101,48,回力OK镖
离群之刺,Akali,白银,102,25,魔法转物理
离群之刺,Akali,白银,103,26,升级：收集者
离群之刺,Akali,棱彩,104,30,秘术冲拳
离群之刺,Akali,白银,105,27,重量级打击手
离群之刺,Akali,黄金,106,49,炽烈黎明
离群之刺,Akali,黄金,107,50,黎明使者的坚决
离群之刺,Akali,棱彩,108,31,战争交响乐
离群之刺,Akali,白银,109,28,防护面纱
离群之刺,Akali,黄金,110,51,坚韧
离群之刺,Akali,白银,111,29,家园卫士
离群之刺,Akali,棱彩,112,32,夺金
离群之刺,Akali,白银,113,30,冰寒
离群之刺,Akali,白银,114,31,残暴之力
离群之刺,Akali,棱彩,115,33,当心小蛋糕！
离群之刺,Akali,黄金,116,52,会心治疗
离群之刺,Akali,白银,117,32,冰霜 幽灵
离群之刺,Akali,黄金,118,53,急急小子
离群之刺,Akali,棱彩,119,34,精怪魔法
离群之刺,Akali,棱彩,120,35,任务：海牛阿福的勇士
离群之刺,Akali,棱彩,121,36,踢踏舞
离群之刺,Akali,白银,122,33,会心防御
离群之刺,Akali,棱彩,123,37,全能龙魂
离群之刺,Akali,棱彩,124,38,玻璃大炮
离群之刺,Akali,白银,125,34,侵蚀
离群之刺,Akali,棱彩,126,39,科学狂人
离群之刺,Akali,白银,127,35,万用瞄准镜
离群之刺,Akali,棱彩,128,40,？？？
离群之刺,Akali,棱彩,129,41,和我一起困在这里
离群之刺,Akali,白银,130,36,升级：献祭
离群之刺,Akali,棱彩,131,42,感受燃烧
离群之刺,Akali,白银,132,37,转得我眩晕了
离群之刺,Akali,棱彩,133,43,连拨击锤
离群之刺,Akali,白银,134,38,台风
离群之刺,Akali,白银,135,39,唯快不破
离群之刺,Akali,棱彩,136,44,卡皮巴拉空投
离群之刺,Akali,黄金,137,54,双发快射
离群之刺,Akali,棱彩,138,45,你肩上的恶魔
离群之刺,Akali,棱彩,139,46,慢炖
